Linux 5.4.0-164-generic (node-0.load-balance.autondp-pg0.utah.cloudlab.us) 	03/12/2024 	_x86_64_	(32 CPU)

03:43:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:43:12 PM     all      1.07      0.00      0.91      1.47      0.00     96.55
03:43:13 PM     all      0.09      0.00      0.75      2.39      0.00     96.76
03:43:14 PM     all      0.16      0.00      0.88      2.39      0.00     96.57
03:43:15 PM     all      0.09      0.00      0.60      2.39      0.00     96.91
03:43:16 PM     all      0.06      0.00      0.50      1.79      0.00     97.64
03:43:17 PM     all      0.16      0.00      0.88      2.38      0.00     96.58
03:43:18 PM     all      0.09      0.00      0.75      2.36      0.00     96.79
03:43:19 PM     all      0.22      0.00      0.85      2.39      0.00     96.54
03:43:20 PM     all      0.16      0.00      0.66      2.29      0.00     96.89
03:43:21 PM     all      0.00      0.00      0.16      2.38      0.00     97.46
03:43:22 PM     all      0.12      0.00      0.25      2.94      0.00     96.69
03:43:23 PM     all      0.03      0.00      0.13      2.95      0.00     96.89
03:43:24 PM     all      0.25      0.00      0.22      2.97      0.00     96.56
03:43:25 PM     all      0.06      0.00      0.25      2.94      0.00     96.74
03:43:26 PM     all      0.00      0.00      0.25      2.94      0.00     96.81
03:43:27 PM     all      0.03      0.00      0.28      2.91      0.00     96.78
03:43:28 PM     all      0.00      0.00      0.25      2.95      0.00     96.80
03:43:29 PM     all      0.72      0.00      0.31      2.88      0.00     96.08
03:43:30 PM     all      0.09      0.00      0.25      2.97      0.00     96.68
03:43:31 PM     all      0.03      0.00      0.19      2.94      0.00     96.84
03:43:32 PM     all      0.03      0.00      0.16      2.94      0.00     96.87
03:43:33 PM     all      0.03      0.00      0.19      2.94      0.00     96.84
03:43:34 PM     all      0.22      0.00      0.31      2.94      0.00     96.52
03:43:35 PM     all      0.03      0.00      0.09      2.95      0.00     96.93
03:43:36 PM     all      0.09      0.00      0.28      2.91      0.00     96.72
03:43:37 PM     all      0.00      0.00      0.13      2.35      0.00     97.53
03:43:38 PM     all      0.06      0.00      0.22      2.94      0.00     96.78
03:43:39 PM     all      0.19      0.00      0.19      2.98      0.00     96.65
03:43:40 PM     all      0.09      0.00      0.22      2.91      0.00     96.77
03:43:41 PM     all      0.13      0.00      0.28      2.94      0.00     96.65
03:43:42 PM     all      0.03      0.00      0.22      0.09      0.00     99.66
03:43:43 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:43:44 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:43:45 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:43:46 PM     all      0.12      0.00      0.03      0.03      0.00     99.81
03:43:47 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:43:48 PM     all      0.75      0.00      0.03      0.00      0.00     99.22
03:43:49 PM     all      0.06      0.00      0.09      0.00      0.00     99.84
03:43:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:43:51 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:43:52 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
