Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,0.252398
1,0.246845
2,0.246473
3,0.247799
4,0.240383
5,0.243902
6,0.251975
7,0.237365
8,0.240036
9,0.252251
10,0.240252
11,0.242503
12,0.249533
13,0.238306
14,0.241355
15,0.245311
16,0.23813
17,0.241619
18,0.249987
19,0.238363
20,0.238636
21,0.250817
22,0.239801
23,0.238842
24,0.248634
25,0.239291
26,0.240719
27,0.248098
28,0.239057
29,0.239591
30,0.248411
31,0.240192
32,0.241181
33,0.247612
34,0.236988
35,0.237853
36,0.247839
37,0.238206
38,0.236551
39,0.247627
40,0.237426
41,0.240505
42,0.248031
43,0.236146
44,0.239748
45,0.250035
46,0.237102
47,0.238949
48,0.251724
49,0.24128
50,0.248932
51,0.248164
52,0.237956
53,0.241439
54,0.249171
55,0.237998
56,0.248715
57,0.250278
58,0.239878
59,0.243013
60,0.246918
61,0.236484
62,0.240395
63,0.245167
64,0.238423
65,0.244859
66,0.246575
67,0.236549
68,0.236832
69,0.248819
70,0.2378
71,0.258548
72,0.250168
73,0.238748
74,0.246118
75,0.248194
76,0.236416
77,0.2406
78,0.24935
79,0.244204
80,0.244787
81,0.248614
82,0.238337
83,0.244428
84,0.24387
85,0.243406
86,0.237628
87,0.250661
88,0.24267
89,0.237497
90,0.246766
91,0.237262
92,0.240069
93,0.249013
94,0.237674
95,0.238002
96,0.250199
97,0.243611
98,0.245229
99,0.253012
