Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,Turnaround: 0.21979975700378418
1,Turnaround: 0.23740386962890625
2,Turnaround: 0.2278614044189453
3,Turnaround: 0.22177529335021973
4,Turnaround: 0.21857929229736328
5,Turnaround: 0.22109365463256836
6,Turnaround: 0.22177886962890625
7,Turnaround: 0.22715044021606445
8,Turnaround: 0.22456955909729004
9,Turnaround: 0.22603988647460938
10,Turnaround: 0.23185467720031738
11,Turnaround: 0.23842644691467285
12,Turnaround: 0.23533129692077637
13,Turnaround: 0.23932409286499023
14,Turnaround: 0.242095947265625
15,Turnaround: 0.24496030807495117
16,Turnaround: 0.24720382690429688
17,Turnaround: 0.2500929832458496
18,Turnaround: 0.2475755214691162
19,Turnaround: 0.2530782222747803
20,Turnaround: 0.25577545166015625
21,Turnaround: 0.2545182704925537
22,Turnaround: 0.2533080577850342
23,Turnaround: 0.26317787170410156
24,Turnaround: 0.2593257427215576
25,Turnaround: 0.262697696685791
26,Turnaround: 0.2649569511413574
27,Turnaround: 0.26674532890319824
28,Turnaround: 0.26805925369262695
29,Turnaround: 0.2683827877044678
30,Turnaround: 0.26834821701049805
31,Turnaround: 0.2746553421020508
32,Turnaround: 0.27170848846435547
33,Turnaround: 0.27132368087768555
34,Turnaround: 0.2697610855102539
35,Turnaround: 0.27765393257141113
36,Turnaround: 0.2854888439178467
37,Turnaround: 0.27849793434143066
38,Turnaround: 0.2734689712524414
39,Turnaround: 0.28108978271484375
40,Turnaround: 0.2773780822753906
41,Turnaround: 0.27226972579956055
42,Turnaround: 0.2737886905670166
43,Turnaround: 0.34206342697143555
44,Turnaround: 0.3426940441131592
45,Turnaround: 0.26735591888427734
46,Turnaround: 0.27742934226989746
47,Turnaround: 0.27425289154052734
48,Turnaround: 0.31105589866638184
49,Turnaround: 0.29973888397216797
