Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,True
load balance strategy,workerhash
iteration, latency
0,0.251874
1,0.23987
2,0.242174
3,0.240028
4,0.239497
5,0.239164
6,0.242269
7,0.243083
8,0.240835
9,0.244
10,0.241205
11,0.240761
12,0.240479
13,0.244408
14,0.243915
15,0.240325
16,0.241472
17,0.241417
18,0.241748
19,0.238671
20,0.244381
21,0.241596
22,0.240021
23,0.238834
24,0.238045
25,0.239636
26,0.238199
27,0.239211
28,0.241165
29,0.241272
30,0.240672
31,0.240701
32,0.246516
33,0.244041
34,0.241605
35,0.239972
36,0.239289
37,0.244361
38,0.242347
39,0.242824
40,0.240383
41,0.241261
42,0.240928
43,0.23957
44,0.242217
45,0.241607
46,0.241015
47,0.240539
48,0.240279
49,0.24156
50,0.2422
51,0.238747
52,0.241047
53,0.242257
54,0.239882
55,0.242987
56,0.242759
57,0.239188
58,0.241371
59,0.24111
60,0.239844
61,0.24018
62,0.240829
63,0.239179
64,0.240096
65,0.241852
66,0.241613
67,0.241183
68,0.241361
69,0.239506
70,0.2418
71,0.240915
72,0.240591
73,0.239223
74,0.241771
75,0.241154
76,0.241496
77,0.239747
78,0.241883
79,0.24245
80,0.239281
81,0.242714
82,0.243752
83,0.244879
84,0.247136
85,0.241242
86,0.242936
87,0.242573
88,0.240869
89,0.241791
90,0.243614
91,0.241341
92,0.24024
93,0.240475
94,0.241987
95,0.242106
96,0.239399
97,0.240737
98,0.241287
99,0.239058
