Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,False
load balance strategy,roundrobin
iteration, latency
0,0.382229
1,0.359674
2,0.360176
3,0.354576
4,0.356571
5,0.35425
6,0.350862
7,0.349355
8,0.352305
9,0.356781
10,0.355047
11,0.34848
12,0.354116
13,0.350729
14,0.353708
15,0.349898
16,0.34802
17,0.346139
18,0.352047
19,0.346892
20,0.350586
21,0.354993
22,0.353421
23,0.356288
24,0.359682
25,0.353183
26,0.350297
27,0.35661
28,0.348514
29,0.368898
30,0.361031
31,0.347577
32,0.349076
33,0.356795
34,0.350851
35,0.349308
36,0.355068
37,0.35255
38,0.353078
39,0.3569
40,0.351013
41,0.350865
42,0.352962
43,0.345783
44,0.362576
45,0.362898
46,0.364811
47,0.351018
48,0.352344
49,0.353213
50,0.351762
51,0.355325
52,0.353254
53,0.34938
54,0.35803
55,0.34858
56,0.353915
57,0.353171
58,0.349829
59,0.349199
60,0.354369
61,0.351243
62,0.350474
63,0.351728
64,0.340415
65,0.351956
66,0.356878
67,0.346375
68,0.35214
69,0.358685
70,0.353086
71,0.353093
72,0.348038
73,0.351897
74,0.353028
75,0.355432
76,0.353128
77,0.357542
78,0.354339
79,0.351551
80,0.353551
81,0.356556
82,0.353225
83,0.347342
84,0.354484
85,0.3457
86,0.35129
87,0.357103
88,0.346365
89,0.352095
90,0.366947
91,0.356894
92,0.348995
93,0.355651
94,0.349459
95,0.349445
96,0.356222
97,0.354544
98,0.350548
99,0.352808
