Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,Turnaround: 0.22195816040039062
1,Turnaround: 0.23052716255187988
2,Turnaround: 0.23539304733276367
3,Turnaround: 0.22313189506530762
4,Turnaround: 0.2180483341217041
5,Turnaround: 0.22445011138916016
6,Turnaround: 0.22317814826965332
7,Turnaround: 0.2319014072418213
8,Turnaround: 1.402886152267456
9,Turnaround: 1.2913110256195068
10,Turnaround: 1.1910288333892822
11,Turnaround: 1.099557638168335
12,Turnaround: 1.0152482986450195
13,Turnaround: 0.9385514259338379
14,Turnaround: 0.8867397308349609
15,Turnaround: 0.7964355945587158
16,Turnaround: 0.7324039936065674
17,Turnaround: 0.6767706871032715
18,Turnaround: 0.6466996669769287
19,Turnaround: 0.5635454654693604
20,Turnaround: 0.5355415344238281
21,Turnaround: 0.4635143280029297
22,Turnaround: 0.43912196159362793
23,Turnaround: 0.4012932777404785
24,Turnaround: 0.3521909713745117
25,Turnaround: 4.435545921325684
26,Turnaround: 4.384019613265991
27,Turnaround: 4.345118761062622
28,Turnaround: 4.309268236160278
29,Turnaround: 4.286281585693359
30,Turnaround: 4.240778207778931
31,Turnaround: 4.20752739906311
32,Turnaround: 0.3635270595550537
33,Turnaround: 0.3343801498413086
34,Turnaround: 0.35666370391845703
35,Turnaround: 0.3363919258117676
36,Turnaround: 0.33261704444885254
37,Turnaround: 0.2934901714324951
38,Turnaround: 0.37947964668273926
39,Turnaround: 0.3423323631286621
40,Turnaround: 0.3849828243255615
41,Turnaround: 0.4074244499206543
42,Turnaround: 0.4151756763458252
43,Turnaround: 0.3917582035064697
44,Turnaround: 0.43645572662353516
45,Turnaround: 0.41464805603027344
46,Turnaround: 0.4021878242492676
47,Turnaround: 0.3699655532836914
48,Turnaround: 0.4364807605743408
49,Turnaround: 0.41541290283203125
50,Turnaround: 0.38974571228027344
51,Turnaround: 0.47786712646484375
52,Turnaround: 0.4810168743133545
53,Turnaround: 0.4146895408630371
54,Turnaround: 0.4606606960296631
55,Turnaround: 0.45906615257263184
56,Turnaround: 0.46273183822631836
57,Turnaround: 0.4598515033721924
58,Turnaround: 0.4421067237854004
59,Turnaround: 0.43641066551208496
60,Turnaround: 0.4275233745574951
61,Turnaround: 0.47860121726989746
62,Turnaround: 0.4759712219238281
63,Turnaround: 0.46010375022888184
64,Turnaround: 0.4447176456451416
65,Turnaround: 0.4664027690887451
66,Turnaround: 0.4642665386199951
67,Turnaround: 0.481217622756958
68,Turnaround: 0.43323612213134766
69,Turnaround: 0.4479806423187256
70,Turnaround: 0.4155707359313965
71,Turnaround: 0.4810760021209717
72,Turnaround: 0.452038049697876
73,Turnaround: 0.4675564765930176
74,Turnaround: 0.4833338260650635
75,Turnaround: 0.48705458641052246
76,Turnaround: 0.46335387229919434
77,Turnaround: 0.4708256721496582
78,Turnaround: 0.44733595848083496
79,Turnaround: 0.43279170989990234
80,Turnaround: 0.4680149555206299
81,Turnaround: 0.45607757568359375
82,Turnaround: 0.4438600540161133
83,Turnaround: 0.44996118545532227
84,Turnaround: 0.46384310722351074
85,Turnaround: 0.46788954734802246
86,Turnaround: 0.46469926834106445
87,Turnaround: 0.4611999988555908
88,Turnaround: 0.44782567024230957
89,Turnaround: 0.44396495819091797
90,Turnaround: 0.43233489990234375
91,Turnaround: 0.44501495361328125
